GEO.id,GEO.display-label,countyFIPS5,county,stateFIPS,state,stateName,d2010,d2000,d1990,d1980,d1970,d1960,d1950,d1940,d1930,d1920,d1910,d1900,d1890,d1880,d1870,d1860,d1850,d1840,e1969,e1970,e1971,e1972,e1973,e1974,e1975,e1976,e1977,e1978,e1979,e1980,e1981,e1982,e1983,e1984,e1985,e1986,e1987,e1988,e1989,e1990,e1991,e1992,e1993,e1994,e1995,e1996,e1997,e1998,e1999,e2000,e2001,e2002,e2003,e2004,e2005,e2006,e2007,e2008,e2009,ebase2010,e2010,e2011,e2012,e2013,e2014,e2015,e2016,e2017,e2018,e2019
0500000US19001,"Adair County, Iowa",19001,Adair,19,IA,Iowa,7682,8243,8409,9509,9487,10893,12292,13196,13891,14259,14420,16192,14534,11667,3982,984,0,0,9236,9437,9276,9460,9563,9311,9298,9332,9369,9432,9545,9490,9396,9258,9210,9147,8935,8700,8550,8509,8431,8397,8430,8441,8483,8380,8366,8363,8310,8305,8298,8223,8132,8059,8050,8019,7932,7924,7871,7747,7676,7682,7679,7546,7468,7387,7368,7145,7005,7051,7074,7152
0500000US19003,"Adams County, Iowa",19003,Adams,19,IA,Iowa,4029,4482,4866,5731,6322,7468,8753,10156,10437,10521,10998,13601,12292,11888,4614,1533,0,0,6122,6309,6280,6280,6078,5975,5919,5821,5912,5938,5847,5713,5631,5556,5494,5423,5307,5199,5217,5095,4987,4845,4748,4687,4634,4616,4578,4534,4503,4493,4498,4476,4402,4370,4365,4307,4226,4224,4195,4151,4047,4029,4023,3994,3910,3891,3877,3754,3692,3657,3644,3602
0500000US19005,"Allamakee County, Iowa",19005,Allamakee,19,IA,Iowa,14330,14675,13855,15108,14968,15982,16351,17184,16328,17285,17328,18711,17907,19791,17868,12237,777,0,15151,15015,15261,15441,15105,14964,15169,15255,15649,15730,15382,15091,14988,14870,14889,14829,14640,14384,14160,14162,14066,13836,13996,14123,14231,14248,14484,14468,14487,14611,14651,14674,14333,14289,14345,14324,14371,14378,14335,14325,14263,14328,14378,14222,14149,14071,14062,13874,13851,13803,13852,13687
0500000US19007,"Appanoose County, Iowa",19007,Appanoose,19,IA,Iowa,12887,13721,13743,15511,15007,16015,19683,24245,24835,30535,28701,25927,18961,16636,16456,11931,3131,0,15073,15046,15225,15484,14969,14693,14875,15155,15588,15406,15528,15488,15362,15157,14864,14640,14388,14150,14116,13960,13818,13744,13768,13865,13903,13726,13723,13752,13677,13761,13709,13696,13578,13420,13522,13462,13453,13319,13105,12950,12896,12887,12856,12848,12707,12654,12671,12577,12505,12353,12401,12426
0500000US19009,"Audubon County, Iowa",19009,Audubon,19,IA,Iowa,6119,6830,7334,8559,9595,10919,11579,11790,12264,12520,12671,13626,12412,7448,1212,454,0,0,9421,9564,9385,9415,9143,8900,8909,8957,8975,9016,8855,8545,8467,8356,8243,8312,8095,7848,7605,7509,7404,7335,7251,7141,7038,6992,6954,6920,6916,6893,6896,6804,6664,6572,6479,6430,6324,6265,6222,6200,6136,6119,6098,6004,5865,5863,5771,5711,5626,5550,5471,5496
0500000US19011,"Benton County, Iowa",19011,Benton,19,IA,Iowa,26076,25308,22429,23649,22885,23422,22656,22879,22851,24080,23156,25177,24178,24888,22454,8496,672,0,22564,22918,22968,22944,22879,22763,22940,23028,23391,23459,23671,23651,23603,23301,22905,22822,22515,22345,22214,22294,22439,22425,22526,22712,23223,23552,23962,24249,24453,24823,25214,25326,25532,25829,25946,26181,26265,26137,26066,26097,26117,26069,26046,26078,25830,25699,25623,25608,25644,25656,25625,25645
0500000US19013,"Black Hawk County, Iowa",19013,Black Hawk,19,IA,Iowa,131090,128012,123798,137961,132916,122482,100448,79946,69146,56570,44865,32399,24219,23913,21706,8244,135,0,131135,133020,133413,132415,132809,132409,133086,134212,134918,136176,136183,138013,137897,136836,135579,133873,130073,126207,123818,122448,123256,124155,125601,126142,126976,127150,126936,127392,127275,127743,127786,128019,127765,126876,126491,126682,127021,127486,127756,129203,130595,131086,131162,131584,131878,132933,133390,133701,133077,132238,131723,131228
0500000US19015,"Boone County, Iowa",19015,Boone,19,IA,Iowa,26306,26224,25186,26184,26470,28037,28139,29782,29271,29892,27626,28200,23772,20838,14584,4232,735,0,25734,26562,26932,27487,26841,26462,26160,26254,26452,26358,26348,26214,26276,26058,25897,25709,25509,25316,25154,25175,25109,25200,25335,25259,25133,25161,25456,25742,26023,25930,26164,26251,26249,26086,26232,26372,26500,26471,26553,26454,26360,26308,26271,26288,26136,26284,26290,26443,26416,26443,26312,26234
0500000US19017,"Bremer County, Iowa",19017,Bremer,19,IA,Iowa,24276,23325,22813,24820,22737,21108,18884,17932,17046,16728,15843,16305,14630,14081,12528,4915,0,0,22246,22740,22792,23058,23330,23789,23817,23769,23856,24048,24293,24823,24782,24661,24533,24199,23712,23226,22712,22516,22706,22854,22931,23038,23157,23098,23183,23301,23292,23322,23398,23312,23506,23386,23549,23728,23833,24054,24237,24162,24183,24280,24295,24381,24496,24579,24670,24746,24747,24823,24941,25062
0500000US19019,"Buchanan County, Iowa",19019,Buchanan,19,IA,Iowa,20958,21093,20844,22900,21762,22293,21927,20991,19550,19890,19748,21427,18997,18546,17034,7906,517,0,20824,21702,21553,21603,22034,22099,22497,22693,23072,23129,23220,22936,23032,22976,22739,22253,21810,21079,20786,20761,20890,20842,20902,20952,21091,21230,21141,21126,21084,21088,21158,21064,20952,20796,20822,20910,20831,20957,21069,21154,21016,20953,20974,20911,20994,21026,21131,21105,21007,21126,21178,21175
0500000US19021,"Buena Vista County, Iowa",19021,Buena Vista,19,IA,Iowa,20260,20411,19965,20774,20693,21189,21113,19838,18667,18556,15981,16975,13548,7537,1585,57,0,0,20747,20748,21036,21219,21017,20884,20795,20861,20938,20930,20636,20806,20890,20854,20749,20927,20572,20406,20102,20166,20053,19992,20076,20299,20578,20497,20500,20506,20427,20301,20508,20361,20241,20233,20141,20000,19970,19909,19798,19855,20004,20265,20356,20311,20561,20649,20606,20374,20325,20144,19826,19620
0500000US19023,"Butler County, Iowa",19023,Butler,19,IA,Iowa,14867,15305,15731,17668,16953,17467,17394,17986,17617,17845,17119,17955,15463,14293,9951,3724,0,0,16660,16941,17004,17104,17232,17355,17351,17480,17717,17715,17827,17657,17573,17431,17254,17101,16782,16324,15988,15967,15826,15713,15788,15709,15578,15578,15573,15531,15501,15406,15286,15299,15065,14926,14939,14985,14965,14931,14961,14957,14699,14869,14916,14966,14971,14975,14959,14881,14702,14592,14525,14439
0500000US19025,"Calhoun County, Iowa",19025,Calhoun,19,IA,Iowa,9670,11115,11508,13542,14292,15923,16925,17584,17605,17783,17090,18569,13107,5595,1602,147,0,0,14783,14255,14159,13918,13956,13770,13810,13878,13773,13660,13499,13517,13385,13243,13015,12758,12345,11953,11761,11633,11598,11501,11497,11503,11478,11630,11473,11426,11377,11296,11190,11088,10918,10683,10488,10382,10228,10093,9947,9845,9684,10177,10160,10064,9913,9898,9845,9801,9811,9729,9711,9668
0500000US19027,"Carroll County, Iowa",19027,Carroll,19,IA,Iowa,20816,21421,21423,22951,22912,23431,23065,22770,22326,21549,20117,20319,18828,12351,2451,281,0,0,23018,22900,22845,22770,23090,23125,23049,23016,22977,23076,22861,22964,22964,22665,22638,22642,22433,22097,21772,21729,21501,21415,21429,21483,21634,21525,21651,21651,21705,21703,21631,21382,21225,21159,21024,20936,20973,20832,20869,20742,20743,20816,20824,20860,20654,20541,20499,20423,20388,20274,20153,20165
0500000US19029,"Cass County, Iowa",19029,Cass,19,IA,Iowa,13956,14684,15128,16932,17007,17919,18532,18647,19422,19421,19047,21274,19645,16943,5464,1612,0,0,17264,17044,17223,17021,17204,17075,16966,17021,17146,17226,17227,16965,17060,16918,16882,16876,16367,15840,15415,15328,15225,15110,15062,15056,15090,15168,15043,15005,14886,14794,14649,14675,14488,14242,14275,14142,14002,14021,13988,13935,13949,13952,13928,13765,13700,13572,13395,13351,13176,13144,12948,12836
0500000US19031,"Cedar County, Iowa",19031,Cedar,19,IA,Iowa,18499,18187,17444,18635,17655,17791,16910,16884,16760,17560,17765,19371,18253,18936,19731,12949,3941,1253,17698,17681,17959,18053,18012,17752,17844,18256,18763,18895,18839,18640,18618,18516,18576,18430,18216,17823,17476,17330,17381,17447,17505,17703,17551,17566,17742,17860,18102,18057,18178,18199,18126,18150,18224,18248,18213,18332,18321,18460,18458,18441,18450,18358,18296,18226,18276,18254,18348,18490,18564,18627
0500000US19033,"Cerro Gordo County, Iowa",19033,Cerro Gordo,19,IA,Iowa,44151,46447,46733,48458,49223,49894,46053,43845,38476,34675,25011,20672,14864,11461,4722,940,0,0,49155,49215,49457,49298,49663,49652,49318,49210,49177,48863,48492,48472,48416,48220,48061,48059,48497,48158,47357,47219,46840,46773,47206,47060,46904,46945,47196,47080,47091,46950,46637,46389,45844,45430,45412,44993,44741,44531,44461,44285,44239,44153,44097,43971,43699,43528,43206,42983,43096,42999,42642,42450
0500000US19035,"Cherokee County, Iowa",19035,Cherokee,19,IA,Iowa,12072,13035,14098,16238,17269,18598,19052,19258,18737,17760,16741,16570,15659,8240,1967,58,0,0,17235,17273,17311,17416,17166,16877,16544,16482,16572,16623,16422,16223,16128,15869,15848,15657,15266,14843,14507,14276,14139,14107,14062,13978,13912,13882,13635,13450,13381,13204,13096,13019,12905,12685,12579,12510,12380,12215,12152,12014,11953,12067,12110,12024,11951,11874,11801,11483,11394,11307,11295,11235
0500000US19037,"Chickasaw County, Iowa",19037,Chickasaw,19,IA,Iowa,12439,13095,13295,15437,14969,15034,15228,15227,14637,15431,15375,17037,15019,14534,10180,4336,0,0,14658,14916,14718,14798,14893,14939,15206,15299,15421,15472,15499,15422,15327,15211,15147,14898,14485,14174,13716,13538,13417,13288,13219,13218,13238,13287,13297,13270,13272,13237,13209,13168,13192,12941,12770,12691,12561,12603,12540,12471,12465,12442,12410,12405,12287,12274,12252,12151,12094,12002,11952,11933
0500000US19039,"Clarke County, Iowa",19039,Clarke,19,IA,Iowa,9286,9133,8287,8612,7581,8222,9369,10233,10384,10506,10736,12440,11332,11513,8735,5427,79,0,7572,7575,7615,7929,7835,7838,7982,8068,8224,8310,8450,8623,8646,8723,8568,8493,8387,8287,8349,8409,8327,8301,8353,8496,8549,8429,8486,8663,8701,8841,8908,9194,9207,9213,9282,9307,9180,9196,9149,9217,9228,9286,9320,9317,9341,9245,9196,9219,9288,9396,9502,9395
0500000US19041,"Clay County, Iowa",19041,Clay,19,IA,Iowa,16667,17372,17585,19576,18464,18504,18103,17762,16107,15660,12766,13401,9309,4248,1523,52,0,0,18359,18488,18556,18366,18420,18544,18787,19043,19218,19469,19621,19549,19398,19220,19203,18953,18386,17771,17315,17194,17452,17654,17638,17766,17700,17696,17577,17601,17662,17550,17339,17360,17256,17086,16985,16960,16848,16812,16725,16697,16708,16667,16634,16597,16539,16438,16484,16498,16295,16141,16106,16016
0500000US19043,"Clayton County, Iowa",19043,Clayton,19,IA,Iowa,18129,18678,19054,21098,20606,21962,22522,24334,24559,25032,25576,27750,26733,28829,27771,20728,3873,1101,20715,20598,20773,21289,21144,21118,21424,21541,21833,21824,21620,21078,20951,20801,20602,20506,20177,19699,19411,19369,19218,19064,18889,18813,18909,18886,18871,18930,18952,18900,18825,18611,18529,18369,18357,18358,18269,18272,18259,18209,18185,18128,18080,18017,17946,17793,17768,17726,17661,17648,17540,17549
