type,	time,	latitude,	longitude,	altitude (ft),	speed (mph),	pace (min/mi),	course,	distance (mi),	distance_interval (ft),	name,	desc,
T	2018-11-22 14:32:29	40.743177000	-96.700389000	1240.6				0.000		Morning Run	
T	2018-11-22 14:32:30	40.743154000	-96.700381000	1240.7	5.9	10.15	165.2	0.002	8.67		
T	2018-11-22 14:32:31	40.743126000	-96.700379000	1240.7	7.0	8.61	176.9	0.004	10.22		
T	2018-11-22 14:32:32	40.743093000	-96.700382000	1240.8	8.2	7.30	183.9	0.006	12.05		
T	2018-11-22 14:32:33	40.743057000	-96.700391000	1240.9	9.1	6.59	190.7	0.008	13.35		
T	2018-11-22 14:32:34	40.743019000	-96.700406000	1240.9	9.9	6.09	196.7	0.011	14.46		
T	2018-11-22 14:32:35	40.742980000	-96.700427000	1241.0	10.5	5.73	202.2	0.014	15.35		
T	2018-11-22 14:32:36	40.742943000	-96.700454000	1241.3	10.5	5.71	208.9	0.017	15.42		
T	2018-11-22 14:32:37	40.742908000	-96.700487000	1241.6	10.7	5.61	215.5	0.020	15.69		
T	2018-11-22 14:32:38	40.742876000	-96.700526000	1242.2	10.8	5.54	222.7	0.023	15.90		
T	2018-11-22 14:32:39	40.742850000	-96.700571000	1242.7	10.7	5.62	232.7	0.026	15.66		
T	2018-11-22 14:32:40	40.742830000	-96.700622000	1243.2	10.8	5.53	242.6	0.029	15.90		
T	2018-11-22 14:32:41	40.742814000	-96.700677000	1243.6	11.1	5.39	249.0	0.032	16.32		
T	2018-11-22 14:32:42	40.742801000	-96.700733000	1243.9	11.1	5.42	253.0	0.035	16.22		
T	2018-11-22 14:32:43	40.742787000	-96.700787000	1244.0	10.8	5.57	251.1	0.038	15.81		
T	2018-11-22 14:32:44	40.742772000	-96.700837000	1244.0	10.2	5.91	248.4	0.041	14.89		
T	2018-11-22 14:32:45	40.742754000	-96.700881000	1244.1	9.4	6.36	241.6	0.044	13.84		
T	2018-11-22 14:32:46	40.742732000	-96.700917000	1244.2	8.7	6.88	231.1	0.046	12.80		
T	2018-11-22 14:32:47	40.742706000	-96.700944000	1244.2	8.2	7.29	218.2	0.048	12.07		
T	2018-11-22 14:32:48	40.742677000	-96.700963000	1244.3	8.0	7.45	206.4	0.050	11.80		
T	2018-11-22 14:32:49	40.742646000	-96.700971000	1244.4	7.8	7.65	191.1	0.053	11.51		
T	2018-11-22 14:32:50	40.742612000	-96.700969000	1244.4	8.5	7.10	177.4	0.055	12.40		
T	2018-11-22 14:32:51	40.742575000	-96.700960000	1244.5	9.3	6.42	169.6	0.058	13.71		
T	2018-11-22 14:32:52	40.742538000	-96.700945000	1244.5	9.6	6.24	162.9	0.060	14.11		
T	2018-11-22 14:32:53	40.742499000	-96.700928000	1244.6	10.2	5.88	161.7	0.063	14.97		
T	2018-11-22 14:32:54	40.742461000	-96.700911000	1244.6	10.0	6.02	161.3	0.066	14.62		
T	2018-11-22 14:32:55	40.742423000	-96.700897000	1244.7	9.8	6.12	164.4	0.069	14.38		
T	2018-11-22 14:32:56	40.742385000	-96.700885000	1244.7	9.7	6.18	166.5	0.071	14.24		
T	2018-11-22 14:32:57	40.742347000	-96.700876000	1244.7	9.6	6.26	169.8	0.074	14.07		
T	2018-11-22 14:32:58	40.742309000	-96.700868000	1244.7	9.6	6.28	170.9	0.077	14.02		
T	2018-11-22 14:32:59	40.742270000	-96.700862000	1244.7	9.8	6.15	173.4	0.079	14.31		
T	2018-11-22 14:33:00	40.742232000	-96.700858000	1244.7	9.5	6.34	175.4	0.082	13.89		
T	2018-11-22 14:33:01	40.742193000	-96.700854000	1244.7	9.7	6.17	175.6	0.085	14.25		
T	2018-11-22 14:33:02	40.742154000	-96.700853000	1244.6	9.7	6.19	178.9	0.087	14.21		
T	2018-11-22 14:33:03	40.742114000	-96.700853000	1244.6	9.9	6.04	180.0	0.090	14.57		
T	2018-11-22 14:33:04	40.742075000	-96.700856000	1244.5	9.7	6.18	183.3	0.093	14.23		
T	2018-11-22 14:33:05	40.742035000	-96.700861000	1244.5	10.0	6.01	185.4	0.096	14.64		
T	2018-11-22 14:33:06	40.741995000	-96.700867000	1244.4	10.0	6.00	186.5	0.098	14.67		
T	2018-11-22 14:33:07	40.741956000	-96.700871000	1244.4	9.7	6.17	184.4	0.101	14.25		
T	2018-11-22 14:33:08	40.741916000	-96.700872000	1244.3	9.9	6.04	181.1	0.104	14.58		
T	2018-11-22 14:33:09	40.741877000	-96.700867000	1244.4	9.7	6.16	174.5	0.107	14.28		
T	2018-11-22 14:33:10	40.741838000	-96.700857000	1244.5	9.9	6.08	169.0	0.109	14.48		
T	2018-11-22 14:33:11	40.741800000	-96.700842000	1244.8	9.9	6.09	163.3	0.112	14.46		
T	2018-11-22 14:33:12	40.741764000	-96.700822000	1245.2	9.7	6.18	157.2	0.115	14.24		
T	2018-11-22 14:33:13	40.741729000	-96.700797000	1245.6	9.9	6.06	151.6	0.117	14.51		
T	2018-11-22 14:33:14	40.741697000	-96.700768000	1246.1	9.7	6.21	145.5	0.120	14.16		
T	2018-11-22 14:33:15	40.741668000	-96.700735000	1246.7	9.5	6.30	139.2	0.123	13.97		
T	2018-11-22 14:33:16	40.741642000	-96.700698000	1247.4	9.5	6.30	132.8	0.125	13.96		
T	2018-11-22 14:33:17	40.741620000	-96.700657000	1247.8	9.5	6.33	125.3	0.128	13.90		
T	2018-11-22 14:33:18	40.741602000	-96.700613000	1248.3	9.4	6.36	118.4	0.131	13.84		
