"GEO.id","GEO.id2","county","HD01_VD01","HD02_VD01","HD01_VD02","HD02_VD02","HD01_VD03","HD02_VD03","HD01_VD04","HD02_VD04","HD01_VD05","HD02_VD05","HD01_VD06","HD02_VD06","HD01_VD07","HD02_VD07","HD01_VD08","HD02_VD08","HD01_VD09","HD02_VD09","HD01_VD10","HD02_VD10","HD01_VD11","HD02_VD11","HD01_VD12","HD02_VD12","HD01_VD13","HD02_VD13","HD01_VD14","HD02_VD14","HD01_VD15","HD02_VD15","HD01_VD16","HD02_VD16","HD01_VD17","HD02_VD17","HD01_VD18","HD02_VD18","HD01_VD19","HD02_VD19","HD01_VD20","HD02_VD20"
"0500000US19001","19001","Adair County, Iowa","2099","110","1701","118","478","65","91","31","81","26","306","52","1223","102","398","74","171","54","102","45","20","16","1","3","81","40","69","41","227","54","131","38","32","24","39","24","60","28","96","35"
"0500000US19003","19003","Adams County, Iowa","1083","71","943","66","327","38","106","32","97","30","124","28","616","59","140","45","60","36","49","33","16","14","22","28","11","8","11","12","80","30","32","18","22","18","3","5","7","8","48","27"
"0500000US19005","19005","Allamakee County, Iowa","3869","183","3327","174","1262","126","291","71","320","63","651","99","2065","140","542","132","204","79","106","55","42","44","9","10","55","33","98","51","338","89","204","70","49","47","37","37","118","55","134","53"
"0500000US19007","19007","Appanoose County, Iowa","3197","152","2633","158","839","104","187","69","235","88","417","62","1794","122","564","100","216","64","74","32","22","22","10","10","42","18","142","59","348","83","207","69","21","22","98","56","88","37","141","46"
"0500000US19009","19009","Audubon County, Iowa","1628","94","1358","103","429","63","95","41","65","26","269","51","929","89","270","55","68","29","42","26","11","16","8","11","23","19","26","13","202","47","140","44","12","7","31","23","97","37","62","29"
"0500000US19011","19011","Benton County, Iowa","7101","215","6072","199","2384","160","530","115","492","106","1362","143","3688","184","1029","137","382","93","227","72","47","37","41","33","139","59","155","66","647","116","405","88","63","29","96","49","246","68","242","75"
"0500000US19013","19013","Black Hawk County, Iowa","31465","552","24036","557","8554","470","2135","277","1806","264","4613","378","15482","458","7429","493","2192","291","1287","226","416","163","191","79","680","150","905","185","5237","384","3346","343","1063","183","514","163","1769","270","1891","198"
"0500000US19015","19015","Boone County, Iowa","7050","250","5868","275","2184","207","580","170","552","126","1052","151","3684","229","1182","183","511","113","267","93","47","38","64","54","156","75","244","84","671","145","451","120","62","46","141","83","248","85","220","69"
"0500000US19017","19017","Bremer County, Iowa","6574","185","5733","200","2071","158","438","96","568","89","1065","127","3662","133","841","122","323","91","204","74","64","44","6","7","134","62","119","64","518","102","337","88","147","69","28","19","162","54","181","49"
"0500000US19019","19019","Buchanan County, Iowa","5508","202","4565","203","1842","158","378","83","497","93","967","131","2723","176","943","158","287","93","144","66","26","21","48","50","70","38","143","74","656","115","436","98","94","73","52","33","290","66","220","66"
"0500000US19021","19021","Buena Vista County, Iowa","5129","195","3992","200","1626","166","363","100","605","149","658","129","2366","164","1137","185","441","145","285","114","57","36","59","36","169","104","156","79","696","147","571","139","172","97","122","66","277","102","125","40"
"0500000US19023","19023","Butler County, Iowa","4245","130","3728","135","1244","83","212","43","313","55","719","82","2484","100","517","79","180","52","96","37","14","16","27","20","55","29","84","33","337","61","232","56","40","25","33","25","159","47","105","36"
"0500000US19025","19025","Calhoun County, Iowa","2714","169","2123","141","663","94","159","59","197","61","307","67","1460","82","591","102","157","47","91","38","32","24","14","21","45","22","66","34","434","87","350","79","130","58","60","35","160","53","84","27"
"0500000US19027","19027","Carroll County, Iowa","5463","205","4538","195","1663","134","312","95","461","82","890","108","2875","172","925","146","301","90","224","95","106","68","58","52","60","32","77","45","624","125","455","129","79","60","82","55","294","104","169","50"
"0500000US19029","19029","Cass County, Iowa","3668","176","2999","153","1052","95","277","88","316","93","459","81","1947","129","669","119","235","68","162","57","19","15","46","39","97","54","73","38","434","104","293","81","47","33","72","48","174","64","141","56"
"0500000US19031","19031","Cedar County, Iowa","5049","219","4375","203","1679","153","278","104","320","84","1081","168","2696","183","674","97","276","69","159","55","67","44","8","12","84","38","117","43","398","70","230","59","35","28","41","28","154","48","168","55"
"0500000US19033","19033","Cerro Gordo County, Iowa","11435","344","8807","333","2997","243","489","115","705","162","1803","239","5810","262","2628","322","809","181","384","135","58","46","91","75","235","93","425","139","1819","268","1170","187","266","103","73","52","831","185","649","185"
"0500000US19035","19035","Cherokee County, Iowa","3220","173","2583","161","701","112","127","48","232","80","342","84","1882","154","637","129","153","72","93","62","56","61","5","8","32","25","60","38","484","108","320","105","158","82","25","29","137","68","164","82"
"0500000US19037","19037","Chickasaw County, Iowa","3372","166","2814","130","1005","83","167","44","282","63","556","92","1809","110","558","107","312","101","221","88","60","43","36","38","125","74","91","41","246","62","167","59","50","37","29","24","88","41","79","33"
"0500000US19039","19039","Clarke County, Iowa","2599","155","2147","147","867","130","132","75","329","118","406","118","1280","132","452","144","186","92","95","74","0","13","3","4","92","73","91","57","266","121","222","109","99","72","95","80","28","17","44","34"
"0500000US19041","19041","Clay County, Iowa","4615","254","3638","210","1203","140","221","92","375","99","607","115","2435","153","977","224","297","121","227","111","89","83","40","47","98","59","70","39","680","196","457","150","101","78","100","62","256","105","223","95"
"0500000US19043","19043","Clayton County, Iowa","4857","163","3963","178","1208","106","315","74","343","69","550","71","2755","134","894","113","325","79","198","62","37","23","19","16","142","50","127","47","569","93","360","88","80","36","83","48","197","53","209","59"
